TransactionID,CustomerID,TransactionType,TransactionAmount,TransactionDate,TransactionTime,IP_Location,Device,OldBalance,NewBalance,SenderAccount,ReceiverAccount,SenderLocation,ReceiverLocation,SenderBank,ReceiverBank,isFraud
T000001,C9398,Transfer,9736.08,2025-05-27,03:02:12,28.64.76.208,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/3.1),1065.53,-2776.97,AC380194,AC257188,West Christina,Port Thomaschester,Bank A,Bank E,1
T000002,C3894,Payment,1191.96,2024-12-10,13:53:50,134.87.188.74,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/534.42.3 (KHTML, like Gecko) Version/4.0 Safari/534.42.3",19993.09,19445.86,AC868743,AC433746,Lake Crystalburgh,Brianchester,Bank C,Bank A,1
T000003,C8501,Withdrawal,5613.26,2025-02-26,19:30:38,149.32.65.171,Opera/8.89.(X11; Linux i686; nhn-MX) Presto/2.9.185 Version/12.00,1108.26,-702.73,AC959856,AC418135,Wrightview,New Robertview,Bank E,Bank D,1
T000004,C3248,Transfer,3547.54,2024-12-28,06:18:19,182.99.211.164,Opera/9.25.(X11; Linux i686; sid-ET) Presto/2.9.179 Version/11.00,15315.1,14499.42,AC270909,AC538178,Steventon,Lake Denisefurt,Bank E,Bank E,1
T000005,C4253,Payment,4349.68,2024-11-27,07:28:05,72.29.152.140,"Mozilla/5.0 (Linux; Android 2.0) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/43.0.825.0 Safari/532.1",17845.16,14139.99,AC323327,AC434072,Jamesport,Lake Steve,Bank E,Bank A,1
T000006,C7250,Payment,8911.13,2024-12-08,23:09:23,195.184.87.83,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/30.0.887.0 Safari/531.0",1681.25,-6812.65,AC223123,AC595807,Jasonmouth,East Albertshire,Bank E,Bank A,1
T000007,C3464,Transfer,6282.03,2025-04-22,03:58:28,98.240.235.179,Mozilla/5.0 (Android 4.4.2; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0,11259.98,9909.62,AC878384,AC867972,New Laurenhaven,New Jameshaven,Bank A,Bank B,1
T000008,C9286,Payment,3983.6,2025-08-19,09:28:54,195.255.241.245,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/5.0),9802.46,9587.17,AC839500,AC554182,Aprilberg,Brownside,Bank A,Bank A,1
T000009,C9034,Withdrawal,8023.65,2024-09-18,21:50:54,70.28.34.126,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/5554-06-27 15:30:37 Firefox/9.0,17525.19,12070.96,AC866253,AC682564,Michaelchester,Debbieland,Bank A,Bank B,1
T000010,C8149,Deposit,358.67,2025-03-11,04:59:38,24.126.253.195,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; rv:1.9.2.20) Gecko/7341-10-19 17:19:20 Firefox/3.8,13951.89,13799.63,AC274839,AC808544,West Brian,West Catherineborough,Bank A,Bank E,1
T000011,C6089,Deposit,5167.62,2025-07-08,05:19:50,141.0.214.10,Opera/8.21.(X11; Linux i686; ak-GH) Presto/2.9.174 Version/11.00,16346.06,16252.34,AC184148,AC167888,Parkschester,Lake Melissa,Bank D,Bank A,1
T000012,C4979,Transfer,3564.32,2024-09-05,15:29:22,80.234.15.0,Mozilla/5.0 (Windows NT 5.1; sd-IN; rv:1.9.0.20) Gecko/4002-11-25 19:39:38 Firefox/3.8,4695.11,2028.5,AC278278,AC399570,Melissaton,North Georgeton,Bank B,Bank E,1
T000013,C7989,Transfer,8265.4,2025-01-22,02:42:02,25.17.152.73,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/18.0.817.0 Safari/532.0",4774.22,3107.23,AC613075,AC500464,New Jacob,Gibsonstad,Bank C,Bank A,1
T000014,C3252,Payment,8221.48,2025-07-21,18:50:03,49.171.101.70,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.0),15796.25,15240.12,AC583044,AC376427,Josephville,North Brittany,Bank C,Bank D,1
T000015,C6670,Payment,5529.44,2025-07-04,22:37:18,72.220.195.157,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ga-IE) AppleWebKit/535.10.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6535.10.1",5506.57,5474.28,AC992334,AC745440,Lake William,Cruzshire,Bank B,Bank B,1
T000016,C5804,Deposit,1665.31,2025-04-21,08:39:53,60.195.213.49,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/535.28.7 (KHTML, like Gecko) Version/5.0.3 Safari/535.28.7",12399.14,11910.89,AC362902,AC373713,Collinsmouth,Angelamouth,Bank D,Bank B,1
T000017,C8085,Deposit,801.51,2024-10-30,04:34:36,145.138.46.4,Opera/9.95.(Windows NT 10.0; cy-GB) Presto/2.9.178 Version/10.00,684.59,-97.22,AC788451,AC212928,Shellybury,Jennaview,Bank C,Bank A,1
T000018,C2251,Transfer,6645.73,2025-06-18,17:38:57,183.28.10.185,"Mozilla/5.0 (iPad; CPU iPad OS 17_4 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/43.0.857.0 Mobile/17Q064 Safari/531.2",4010.05,-1614.16,AC357721,AC831382,Jacobsonland,North Apriltown,Bank C,Bank E,1
T000019,C2884,Deposit,8766.76,2025-04-01,18:54:44,135.134.80.93,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; cs-CZ) AppleWebKit/531.16.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.16.7",9995.78,4456.69,AC142938,AC943801,East Robert,Leeburgh,Bank E,Bank D,1
T000020,C8517,Payment,3548.3,2024-11-25,01:13:18,97.73.220.212,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.0),11773.22,8403.7,AC247815,AC306822,Levichester,Colemanside,Bank E,Bank D,1
T000021,C3017,Payment,8502.71,2024-09-11,06:24:59,128.140.161.123,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; tcy-IN) AppleWebKit/531.6.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.6.5",8435.05,6468.74,AC640161,AC811857,Jordanville,Joshualand,Bank E,Bank E,1
T000022,C8392,Transfer,8159.39,2024-11-13,18:35:16,67.69.161.88,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/46.0.859.0 Safari/536.2",1843.73,-1144.2,AC300774,AC570001,Lake Leslieshire,Smithfurt,Bank D,Bank D,1
T000023,C5715,Transfer,1657.19,2025-07-12,01:51:01,86.28.8.212,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/16.5b8507.0 Mobile/52Z033 Safari/533.2",17413.76,17063.56,AC763711,AC340122,West Jody,New Kevin,Bank E,Bank E,1
T000024,C9083,Withdrawal,4956.09,2024-08-29,04:16:15,189.222.73.40,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ber-DZ) AppleWebKit/535.12.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6535.12.5",18662.35,13975.57,AC345200,AC517344,New Darren,Dominiquemouth,Bank C,Bank D,1
T000025,C6763,Transfer,1689.36,2024-11-01,02:01:40,177.233.67.135,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2433-12-03 03:56:28 Firefox/3.6.20,18368.71,17276.62,AC908460,AC890336,Port Pamelaville,Port Frank,Bank D,Bank D,1
T000026,C3054,Transfer,9064.32,2025-07-30,22:18:01,92.186.149.128,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/46.0.819.0 Safari/535.0",15047.76,12237.64,AC815914,AC189035,Jacobshaven,Lake Heather,Bank D,Bank C,1
T000027,C7744,Deposit,8501.05,2025-06-08,15:21:10,210.179.245.198,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; lt-LT) AppleWebKit/533.13.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6533.13.2",1180.06,-2875.27,AC912356,AC199596,Larsenton,Joshualand,Bank D,Bank C,1
T000028,C7719,Withdrawal,6817.92,2024-11-11,14:57:01,162.253.130.136,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_2; rv:1.9.5.20) Gecko/9027-01-13 23:15:45 Firefox/3.8,16166.69,16078.76,AC364432,AC172145,Thomasmouth,Williamsmouth,Bank E,Bank D,1
T000029,C5497,Payment,537.93,2024-09-27,05:45:13,58.189.31.200,Opera/9.38.(X11; Linux i686; br-FR) Presto/2.9.173 Version/12.00,8286.61,7763.39,AC443982,AC567883,East Madeline,Randallshire,Bank A,Bank B,1
T000030,C1702,Transfer,9653.62,2024-09-08,07:26:07,161.229.117.54,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/43.0.843.0 Safari/534.2",8079.19,2038.85,AC780267,AC541609,West Melindamouth,Dyerside,Bank E,Bank C,1
T000031,C2163,Transfer,8134.03,2024-12-26,01:26:32,47.18.56.236,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7 rv:5.0; lzh-TW) AppleWebKit/533.47.4 (KHTML, like Gecko) Version/4.0 Safari/533.47.4",15289.38,10672.37,AC258010,AC583197,Philipshire,Tarahaven,Bank E,Bank B,1
T000032,C6957,Payment,1583.55,2025-07-30,02:27:16,214.201.158.82,Mozilla/5.0 (Android 3.2.2; Mobile; rv:47.0) Gecko/47.0 Firefox/47.0,18639.44,18205.84,AC312839,AC292019,Buchananstad,South Christopher,Bank B,Bank C,1
T000033,C9829,Transfer,9709.01,2025-05-25,06:54:03,178.43.92.188,Opera/8.75.(X11; Linux i686; or-IN) Presto/2.9.177 Version/10.00,3438.52,-3005.37,AC927518,AC845880,Vanessaborough,Kathleenburgh,Bank B,Bank A,1
T000034,C8213,Payment,6665.46,2025-07-10,08:00:49,141.63.226.211,Mozilla/5.0 (Android 2.3.5; Mobile; rv:14.0) Gecko/14.0 Firefox/14.0,14349.39,9176.84,AC615727,AC190361,New Sara,South Crystal,Bank C,Bank D,1
T000035,C4027,Deposit,8831.47,2024-11-13,22:07:11,86.6.100.35,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/534.4.7 (KHTML, like Gecko) Version/5.0.2 Safari/534.4.7",504.92,299.08,AC913910,AC938930,Lake Melinda,Lauraton,Bank A,Bank C,1
T000036,C2607,Transfer,6181.6,2024-09-17,07:38:13,1.202.152.42,Opera/8.14.(Windows NT 11.0; bs-BA) Presto/2.9.162 Version/11.00,13298.44,12419.68,AC879963,AC109660,Lewisstad,Port Matthewstad,Bank E,Bank D,1
T000037,C1978,Transfer,4853.76,2025-05-20,06:19:52,90.27.252.115,Opera/8.29.(Windows NT 10.0; tig-ER) Presto/2.9.160 Version/12.00,2451.19,558.19,AC692539,AC968407,Hunterburgh,East Russellchester,Bank E,Bank D,1
T000038,C5160,Deposit,6027.1,2025-06-30,06:39:50,15.189.57.109,Opera/8.17.(Windows NT 6.1; my-MM) Presto/2.9.188 Version/10.00,333.81,-2796.19,AC528292,AC606228,South Melissamouth,Edwardfurt,Bank E,Bank C,1
T000039,C5611,Payment,3534.24,2025-07-19,23:22:22,217.127.29.196,Opera/8.49.(Windows NT 5.01; kw-GB) Presto/2.9.183 Version/10.00,11098.87,10323.68,AC665319,AC722421,Jennifershire,Henryside,Bank E,Bank D,1
T000040,C1734,Withdrawal,9674.85,2025-08-24,02:16:33,102.115.12.151,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1),6105.64,657.15,AC819906,AC669935,Mariamouth,North Brettland,Bank B,Bank A,1
T000041,C8353,Withdrawal,5151.57,2025-05-31,04:22:27,20.238.49.55,Mozilla/5.0 (Windows NT 11.0; fi-FI; rv:1.9.1.20) Gecko/5587-07-17 18:17:33 Firefox/11.0,10714.36,5973.81,AC567181,AC858182,East Jessica,Paulbury,Bank A,Bank E,1
T000042,C5613,Deposit,69.51,2025-01-10,10:39:00,15.117.10.148,Mozilla/5.0 (Windows NT 5.0; iw-IL; rv:1.9.0.20) Gecko/6748-10-29 12:36:36 Firefox/3.8,8853.97,8811.28,AC586438,AC195934,North Cody,Lorimouth,Bank A,Bank A,1
T000043,C3415,Payment,9824.98,2025-07-25,02:44:07,2.188.119.169,Opera/9.72.(Windows 98; ga-IE) Presto/2.9.184 Version/11.00,16626.3,10214.68,AC248494,AC671421,Hansenland,West Gabrielland,Bank C,Bank E,1
T000044,C3747,Transfer,9558.3,2025-06-06,17:44:07,18.98.240.149,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_4 rv:4.0; zu-ZA) AppleWebKit/535.22.6 (KHTML, like Gecko) Version/4.0.2 Safari/535.22.6",4962.15,-4011.2,AC839937,AC124439,Lake Cathy,Blackbury,Bank E,Bank D,1
T000045,C4358,Payment,9424.79,2025-06-03,11:18:10,28.231.158.56,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/51.0.894.0 Mobile/46W880 Safari/532.2",14628.01,7116.66,AC916191,AC754651,Mendozafurt,Davisbury,Bank A,Bank E,1
T000046,C5005,Deposit,6614.23,2024-10-17,03:43:03,88.167.167.64,"Mozilla/5.0 (Windows 98) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.812.0 Safari/531.2",16314.94,14355.84,AC817352,AC176139,Davidberg,Tonyshire,Bank D,Bank C,1
T000047,C8538,Transfer,907.57,2025-08-04,07:20:51,107.109.111.195,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_4 rv:4.0; el-CY) AppleWebKit/531.35.2 (KHTML, like Gecko) Version/4.1 Safari/531.35.2",14155.48,13820.3,AC391143,AC995176,Lake Juliechester,West Bryceview,Bank D,Bank B,1
T000048,C5141,Transfer,2151.32,2024-10-10,17:01:36,11.172.149.77,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; tr-TR) AppleWebKit/534.29.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6534.29.3",13995.36,11871.93,AC958451,AC720953,Julieton,South Georgehaven,Bank B,Bank C,1
T000049,C8198,Transfer,4383.1,2025-04-27,22:18:49,117.164.171.25,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.0),14351.54,11224.98,AC844973,AC325836,New Janetview,West Mary,Bank B,Bank E,1
