TransactionID,CustomerID,Amount,IP_Location,Device,TransactionTime,TransactionDate,TransactionType,OldBalance,NewBalance,SenderAccount,ReceiverAccount,SenderLocation,ReceiverLocation,SenderBank,ReceiverBank,isFraud
1318,3589,720.33,216.73.90.134,Tablet,01:41:51,2000-02-10,Deposit,11862.4,11142.07,GB55PGUO44873122937671,GB08RNDX93250388623179,West Lindafurt,West Lindafurt,BNI,CIMB,0
234,4703,12539.3,181.35.19.65,Mobile,22:30:55,2002-12-10,Deposit,9396.07,-3143.2299999999996,GB69LIZY19995747752505,GB24AYBS24292320946239,Christianfurt,North Justin,BCA,BRI,1
382,2459,29053.67,41.5.15.65,Tablet,04:38:53,1990-05-29,Withdrawal,19769.16,-9284.509999999998,GB85RDLS73623866620174,GB39NAQN93255313732349,Kathrynshire,Hodgesberg,Mandiri,BCA,1
630,8796,6245.45,135.124.8.102,Mobile,10:30:07,2000-08-11,Deposit,4248.62,-1996.83,GB67UGWN66078737577647,GB72VNHL44170681154849,Staceyburgh,North Michael,BCA,BRI,1
1103,6497,682.59,22.46.144.244,Mobile,19:25:00,2019-03-27,Purchase,10958.99,10276.4,GB51FTIA02258913591546,GB24PNDO30678249072665,South Matthew,South Matthew,Mandiri,BRI,0
1503,6236,323.94,58.124.213.137,Desktop,06:46:12,1984-06-23,Deposit,8227.03,7903.090000000001,GB57OFEU05143117973912,GB12HTZC63406930658546,Smithmouth,Smithmouth,BCA,Mandiri,0
1268,4226,1342.6,40.42.252.1,Mobile,00:48:52,1977-08-23,Purchase,7794.22,6451.620000000001,GB17NKHT20784518191916,GB80DGCU51780527744047,Martinfurt,Martinfurt,BCA,BNI,0
1121,7293,6306.81,159.29.193.177,Mobile,08:39:18,2000-10-27,Withdrawal,16313.74,10006.93,GB91WJEZ08722199390743,GB92LCOL70543209641369,Hernandezbury,Hernandezbury,CIMB,CIMB,0
224,3195,21118.6,221.109.86.7,Tablet,15:46:49,2019-01-13,Purchase,14571.33,-6547.269999999999,GB76MFSZ04061700512510,GB10TAXO06240063958120,East Brendan,East Lisamouth,BRI,BRI,1
459,2026,3408.62,15.22.29.56,Tablet,14:55:10,1984-04-17,Purchase,2888.58,-520.04,GB18TUEC18220889844705,GB40NWBI35701684197612,West Samantha,Jimenezview,BRI,CIMB,1
1097,8515,1232.99,91.115.165.43,Desktop,23:57:33,1981-01-28,Withdrawal,5153.34,3920.3500000000004,GB14QJXP17419559618643,GB98BXMS38373698482150,Christophermouth,Christophermouth,BCA,BNI,0
1748,5323,1673.06,184.29.189.61,Tablet,22:25:34,2003-06-09,Transfer,10898.85,9225.79,GB05QFYE47007701503711,GB44DWIW19381677052696,Torresland,Torresland,BNI,BNI,0
1889,2529,3670.01,71.103.112.230,Desktop,16:34:32,2015-07-24,Purchase,10519.64,6849.629999999999,GB85XPJX28265899264234,GB66KMVC11867166542687,Youngside,Youngside,BRI,BNI,0
1173,6758,2282.13,115.79.151.175,Mobile,04:33:35,1971-11-15,Withdrawal,6706.7,4424.57,GB82BLBL45217771178015,GB34FGIP83793677448209,South Courtneyside,South Courtneyside,Mandiri,BCA,0
394,4187,4048.2,102.176.176.174,Mobile,22:19:12,1989-05-25,Purchase,3828.93,-219.26999999999998,GB15EERD33668061115302,GB72JCBL87708213641448,West Brendafurt,Smithburgh,BCA,BNI,1
339,5545,8376.54,205.170.198.167,Desktop,15:14:09,1977-11-30,Withdrawal,9471.28,1094.7399999999998,GB83SMTR11515355892147,GB62BQHM54891396625693,Delgadoberg,Port Laura,CIMB,BCA,1
1307,4955,667.42,91.191.190.67,Desktop,09:57:00,2015-06-12,Transfer,10963.36,10295.94,GB05XJRS58907806778175,GB39XIVI13811232026923,Mitchellport,Mitchellport,BCA,BRI,0
1292,3132,855.64,102.67.237.195,Mobile,13:07:44,1982-06-15,Purchase,7860.2,7004.5599999999995,GB73IAKY48530929820097,GB40DSDZ84282396518527,East Ian,East Ian,BNI,BRI,0
1213,1955,3600.96,134.31.88.41,Tablet,12:13:33,2023-10-13,Transfer,11222.52,7621.56,GB94ZVYN66274331997802,GB57VMOZ08674217510415,Lake Sandrabury,Lake Sandrabury,BRI,BRI,0
501,1308,11360.71,173.98.237.72,Tablet,02:02:43,1988-04-27,Withdrawal,13320.66,1959.9500000000007,GB49BCWU06735113545910,GB87ZZAR64205745810084,New Lauren,Lisatown,BNI,CIMB,1
1652,1813,1821.88,118.70.115.123,Desktop,04:37:46,2003-08-06,Purchase,12222.23,10400.349999999999,GB60EEKL46575195694232,GB41KTWS10370514839962,Lisaburgh,Lisaburgh,BNI,BCA,0
1598,7164,1522.65,193.242.60.24,Tablet,18:22:22,2025-05-22,Withdrawal,5854.93,4332.280000000001,GB86RBBA79538702086890,GB10EOGG30054296233205,Muellerside,Muellerside,BRI,CIMB,0
355,5888,14553.96,206.103.110.41,Tablet,08:08:25,2022-03-28,Transfer,10489.0,-4064.959999999999,GB30SHUI16163455381798,GB98LDHG68253306446676,Florestown,South Dana,BRI,BRI,1
